Search query: ((((virology) OR (influenza)) OR (coronavirus)) OR (bsl3)) OR (biosafety)
Year,Count
2024,2
2023,34615
2022,81332
2021,118428
2020,97956
2019,28071
2018,27321
2017,27487
2016,27758
2015,27476
2014,27278
2013,26406
2012,25432
2011,25020
2010,23216
2009,21083
2008,18421
2007,17936
2006,17377
2005,15428
2004,14016
2003,13470
2002,11668
2001,11776
2000,11881
1999,10683
1998,10176
1997,9354
1996,9076
1995,8918
1994,5700
1993,3340
1992,3316
1991,3131
1990,3049
1989,2754
1988,2567
1987,2200
1986,1783
1985,1885
1984,1791
1983,1773
1982,1780
1981,1805
1980,1715
1979,1737
1978,1533
1977,1712
1976,1607
1975,1336
1974,1229
1973,1203
1972,1211
1971,1176
1970,1249
1969,1047
1968,1016
1967,915
1966,861
1965,861
1964,1021
1963,944
1962,1051
1961,1140
1960,1067
1959,953
1958,960
1957,719
1956,486
1955,478
1954,509
1953,547
1952,473
1951,464
1950,390
1949,292
1948,280
1947,238
1946,207
1945,92
1944,37
1943,26
1942,14
1941,22
1940,23
1939,17
1938,10
1937,25
1936,14
1935,12
1934,7
1933,8
1932,8
1931,14
1930,6
1929,12
1928,4
1927,8
1926,6
1925,3
1924,3
1923,15
1922,16
1921,22
1920,33
1919,132
1918,35
1916,1
1915,4
1913,2
1912,2
1911,1
1910,1
1909,3
1908,6
1907,7
1906,4
1905,6
1902,2
1901,6
1900,7
1899,7
1898,4
1897,3
1896,2
1895,10
1894,11
1893,4
1892,42
1891,16
1890,30
1889,1
1887,1
1882,2
1881,1
1880,4
1877,1
1870,1
1861,2
1849,2
1848,2
1844,1
1839,1
1835,1
1818,1
1805,1
1804,5
1803,17
1802,1
